"weight";"lat";"lon"
"1";"52.575";"4.529"
"1";"52.475";"5.689"
"1";"51.905";"4.119"
"1";"52.575";"4.539"
"1";"52.465";"4.189"
"1";"51.975";"4.219"
"1";"52.555";"5.379"
"1";"52.535";"4.949"
"1";"52.215";"4.539"
"1";"52.185";"4.399"
"1";"52.635";"5.069"
"1";"52.085";"4.139"
"1";"52.255";"4.269"
"1";"52.205";"4.489"
"1";"52.195";"4.429"
"1";"52.535";"4.929"
"1";"52.525";"4.479"
"1";"52.195";"4.449"
"1";"52.545";"4.739"
"1";"52.455";"4.419"
"1";"51.875";"4.729"
"1";"52.295";"4.839"
"1";"52.205";"4.499"
"1";"52.185";"4.379"
"1";"52.565";"4.689"
"1";"52.425";"4.759"
"1";"52.215";"4.549"
"1";"51.915";"4.759"
"1";"52.525";"5.059"
"1";"52.295";"4.829"
"1";"52.205";"5.059"
"1";"52.155";"4.269"
"1";"52.535";"4.989"
"1";"52.195";"4.719"
"1";"52.185";"4.409"
"1";"52.175";"4.349"
"1";"52.165";"4.309"
"1";"52.095";"4.759"
"1";"51.895";"4.119"
"1";"51.885";"4.739"
"1";"52.655";"4.979"
"1";"52.665";"4.939"
"1";"52.155";"4.279"
"1";"52.415";"4.749"
"1";"52.205";"4.709"
"1";"52.125";"4.169"
"1";"52.575";"4.559"
"1";"52.385";"4.369"
"1";"52.295";"4.299"
"1";"52.185";"4.729"
"1";"52.175";"4.369"
"1";"51.845";"4.709"
"1";"52.425";"4.349"
"1";"52.185";"4.839"
"1";"52.155";"4.259"
"1";"52.495";"4.079"
"1";"52.485";"5.659"
"1";"52.175";"4.339"
"1";"51.895";"4.109"
"1";"52.685";"4.649"
"1";"52.535";"4.869"
"1";"52.525";"5.079"
"1";"52.415";"4.419"
"1";"52.345";"4.339"
"1";"52.305";"4.829"
"1";"52.085";"4.259"
"1";"51.965";"4.209"
"1";"52.335";"4.329"
"1";"52.325";"5.079"
"1";"52.205";"4.229"
"1";"52.535";"4.899"
"1";"52.185";"4.389"
"1";"52.245";"4.859"
"1";"51.795";"4.669"
"1";"52.525";"4.739"
"1";"52.535";"4.999"
"1";"52.455";"4.249"
"1";"52.545";"4.729"
"1";"51.925";"4.769"
"1";"52.675";"4.869"
"1";"52.645";"5.029"
"1";"52.545";"4.489"
"1";"52.455";"4.229"
"1";"51.925";"4.139"
"1";"52.535";"4.839"
"1";"52.495";"5.629"
"1";"52.425";"4.359"
"1";"52.215";"4.529"
"1";"52.605";"5.169"
"1";"52.515";"5.509"
"1";"52.495";"5.589"
"1";"52.485";"5.639"
"1";"52.465";"5.449"
"1";"52.435";"4.329"
"1";"51.995";"4.529"
"1";"52.535";"5.089"
"1";"52.325";"4.319"
"1";"52.175";"4.359"
"1";"52.515";"5.579"
"1";"52.085";"4.209"
"1";"52.455";"4.239"
"1";"51.945";"4.179"
"1";"52.595";"5.209"
"1";"52.595";"5.189"
"1";"52.255";"4.669"
"1";"52.235";"5.249"
"1";"52.215";"4.559"
"1";"52.085";"4.379"
"1";"52.145";"4.229"
"1";"52.535";"4.719"
"1";"52.395";"5.249"
"1";"52.475";"5.699"
"1";"52.245";"4.849"
"1";"52.245";"4.689"
"1";"52.585";"5.239"
"1";"52.525";"5.049"
"1";"52.505";"5.539"
"1";"52.445";"4.409"
"1";"52.595";"5.219"
"1";"52.475";"5.479"
"1";"52.465";"5.459"
"1";"52.135";"4.169"
"1";"52.525";"4.769"
"1";"52.525";"5.029"
"1";"52.375";"4.359"
"1";"52.165";"4.199"
"1";"52.475";"4.139"
"1";"52.285";"4.289"
"1";"52.245";"4.259"
"1";"52.215";"4.239"
"1";"52.185";"4.949"
"1";"51.945";"4.769"
"1";"52.515";"4.739"
"1";"52.305";"4.309"
"1";"52.265";"4.709"
"1";"52.495";"5.529"
"1";"52.485";"5.669"
"1";"52.395";"5.239"
"1";"52.265";"4.279"
"1";"52.545";"4.889"
"1";"52.565";"5.309"
"1";"52.435";"4.319"
"1";"52.435";"4.309"
"1";"52.145";"4.209"
"1";"52.085";"4.249"
"1";"52.085";"4.219"
"1";"51.785";"4.659"
"1";"52.505";"5.509"
"1";"51.935";"4.769"
"1";"52.595";"4.519"
"1";"52.475";"5.489"
"1";"51.885";"4.109"
"1";"51.705";"4.599"
"1";"52.575";"5.269"
"1";"52.525";"4.849"
"1";"52.195";"4.469"
"1";"52.185";"4.849"
"1";"52.585";"5.229"
"1";"52.505";"4.769"
"1";"52.495";"5.539"
"1";"52.475";"5.709"
"1";"51.965";"4.199"
"1";"51.895";"4.749"
"1";"51.875";"4.099"
"1";"52.495";"4.069"
"1";"52.185";"4.419"
"1";"52.555";"5.349"
"1";"52.525";"5.019"
"1";"52.515";"4.009"
"1";"52.245";"5.239"
"1";"52.085";"4.389"
"1";"52.575";"4.519"
"1";"52.085";"4.239"
"1";"52.535";"4.909"
"1";"52.515";"3.999"
"1";"52.505";"4.739"
"1";"52.345";"4.749"
"1";"52.115";"4.159"
"1";"52.595";"5.199"
"1";"52.525";"4.549"
"1";"52.505";"4.029"
"1";"52.225";"4.849"
"1";"52.175";"4.209"
"1";"52.165";"4.849"
"1";"51.825";"4.689"
"1";"52.545";"5.089"
"1";"52.325";"4.909"
"1";"52.515";"4.569"
"1";"52.505";"5.519"
"1";"52.485";"5.499"
"1";"52.475";"5.679"
"1";"52.425";"4.369"
"1";"52.085";"4.129"
"1";"52.605";"5.179"
"1";"52.525";"5.039"
"1";"52.195";"4.219"
"1";"52.465";"4.179"
"1";"52.345";"5.109"
"1";"51.865";"4.719"
"1";"52.505";"4.039"
"1";"52.085";"4.269"
"1";"52.455";"4.219"
"1";"52.535";"5.009"
"1";"52.515";"5.309"
"1";"52.535";"5.429"
"1";"52.555";"4.709"
"1";"52.525";"4.899"
"1";"52.515";"5.299"
"1";"52.435";"4.339"
"1";"52.395";"4.379"
"1";"52.225";"4.679"
"1";"52.535";"4.569"
"1";"52.495";"4.459"
"1";"52.005";"4.549"
"1";"52.655";"4.989"
"1";"52.525";"5.469"
"1";"52.495";"4.739"
"1";"52.475";"5.469"
"1";"52.235";"4.849"
"1";"52.085";"4.399"
"1";"51.745";"4.629"
"1";"52.665";"4.909"
"1";"52.455";"5.429"
"1";"52.165";"4.879"
"1";"51.905";"4.749"
"1";"52.545";"4.799"
"1";"52.525";"4.879"
"1";"52.265";"4.679"
"1";"52.085";"3.939"
"1";"52.525";"4.839"
"1";"52.335";"4.939"
"1";"51.935";"4.169"
"1";"52.505";"5.499"
"1";"52.135";"4.149"
"1";"52.025";"4.599"
"1";"52.155";"4.189"
"1";"52.145";"4.199"
"1";"52.085";"3.929"
"1";"52.085";"3.919"
"1";"51.715";"4.609"
"1";"52.445";"4.269"
"1";"52.155";"4.849"
"1";"51.985";"4.509"
"1";"51.695";"4.589"
"1";"52.535";"5.049"
"1";"52.535";"5.029"
"1";"52.525";"5.099"
"1";"52.525";"4.869"
"1";"52.525";"4.719"
"1";"52.405";"4.439"
"1";"52.385";"5.229"
"1";"52.245";"5.189"
"1";"52.215";"5.109"
"1";"52.135";"4.159"
"1";"52.085";"4.749"
"1";"52.085";"3.889"
"1";"52.535";"5.609"
"1";"52.525";"5.009"
"1";"52.505";"5.529"
