"weight";"lat";"lon"
"101";"52.415";"4.739"
"101";"52.025";"4.789"
"101";"52.345";"4.859"
"101";"52.295";"4.479"
"101";"51.895";"4.749"
"101";"51.695";"4.589"
"100";"52.235";"5.219"
"100";"52.005";"4.769"
"100";"52.195";"5.029"
"100";"52.115";"4.759"
"100";"52.085";"3.899"
"100";"52.175";"4.939"
"100";"52.525";"5.599"
"100";"52.535";"4.739"
"100";"52.245";"4.689"
"99";"52.195";"5.019"
"99";"52.205";"4.529"
"99";"52.505";"5.519"
"99";"52.015";"4.769"
"99";"52.375";"4.899"
"99";"52.085";"3.929"
"99";"52.555";"4.899"
"99";"52.505";"4.039"
"99";"52.235";"5.269"
"99";"52.105";"4.769"
"99";"52.395";"5.269"
"99";"52.245";"5.189"
"99";"52.245";"5.179"
"99";"52.395";"5.259"
"99";"52.085";"3.909"
"99";"52.085";"3.889"
"98";"52.455";"4.239"
"98";"52.195";"5.039"
"98";"52.405";"5.289"
"98";"52.085";"3.919"
"98";"52.455";"4.229"
"98";"52.225";"5.289"
"98";"52.095";"4.409"
"98";"52.215";"5.309"
"98";"52.455";"5.429"
"98";"52.145";"4.199"
"98";"52.125";"4.769"
"97";"52.345";"5.119"
"97";"52.475";"5.469"
"97";"52.465";"4.189"
"97";"51.755";"4.639"
"97";"52.535";"4.889"
"97";"52.025";"4.289"
"97";"52.455";"5.419"
"97";"52.535";"4.829"
"97";"52.325";"4.449"
"97";"52.325";"4.459"
"97";"52.045";"4.319"
"97";"52.115";"4.769"
"97";"52.085";"3.939"
"97";"52.535";"4.879"
"97";"52.135";"4.469"
"97";"51.985";"4.229"
"97";"52.575";"4.609"
"97";"52.455";"4.249"
"96";"52.185";"4.989"
"96";"52.565";"4.739"
"96";"52.085";"5.599"
"96";"52.135";"4.159"
"96";"52.325";"4.829"
"96";"52.425";"5.349"
"96";"52.005";"4.779"
"96";"52.325";"5.169"
"96";"52.535";"4.899"
"96";"52.255";"4.839"
"96";"52.245";"4.869"
"95";"52.205";"4.519"
"95";"52.175";"4.769"
"95";"52.115";"4.439"
"95";"52.235";"4.549"
"95";"52.125";"4.129"
"95";"52.545";"4.869"
"94";"52.365";"5.189"
"94";"52.085";"3.879"
"94";"52.495";"5.619"
"94";"52.135";"4.759"
"94";"52.125";"4.119"
"94";"52.285";"4.729"
"94";"52.195";"5.009"
"94";"52.215";"5.299"
"94";"52.505";"5.509"
"94";"51.655";"4.559"
"94";"52.435";"4.309"
"93";"52.145";"4.189"
"93";"52.205";"5.079"
"93";"52.315";"5.079"
"93";"52.425";"5.339"
"93";"52.065";"4.349"
"93";"52.245";"5.199"
"93";"52.105";"4.429"
"93";"52.135";"4.149"
"93";"52.485";"5.479"
"92";"52.315";"4.459"
"92";"52.115";"4.069"
"92";"51.945";"4.769"
"92";"52.445";"5.399"
"92";"52.165";"4.769"
"92";"52.175";"4.749"
"92";"52.485";"4.739"
"92";"51.615";"4.529"
"92";"52.315";"4.849"
"92";"51.805";"4.679"
"92";"52.375";"5.219"
"92";"52.505";"4.019"
"92";"52.135";"4.799"
"92";"52.545";"4.729"
"92";"52.085";"5.609"
"92";"51.735";"4.619"
"91";"52.125";"4.109"
"91";"52.195";"4.469"
"91";"52.505";"4.049"
"91";"52.555";"4.889"
"91";"52.445";"4.749"
"91";"52.485";"5.519"
"91";"52.515";"5.089"
"91";"52.485";"5.469"
"91";"52.435";"5.369"
"90";"52.085";"5.619"
"90";"52.105";"4.029"
"90";"52.505";"5.499"
"90";"52.575";"4.669"
"90";"52.215";"4.589"
"90";"52.115";"4.079"
"90";"51.605";"4.519"
"90";"52.215";"4.519"
"90";"51.895";"4.109"
"90";"52.575";"4.599"
"90";"52.485";"5.649"
"90";"52.205";"5.069"
"90";"51.955";"4.199"
"90";"52.535";"4.909"
"90";"52.315";"5.009"
"90";"52.285";"4.499"
"90";"52.205";"4.469"
"90";"52.305";"4.469"
"90";"51.715";"4.609"
"90";"52.375";"4.909"
"90";"52.485";"4.099"
"89";"52.205";"5.059"
"89";"52.435";"4.709"
"89";"51.865";"4.719"
"89";"51.665";"4.569"
"89";"52.475";"4.139"
"89";"52.325";"5.199"
"89";"51.935";"3.199"
"89";"52.365";"5.179"
"89";"52.105";"4.759"
"89";"52.105";"4.039"
"89";"52.085";"3.949"
"89";"52.475";"4.799"
"89";"52.105";"4.019"
"88";"52.415";"5.319"
"88";"52.145";"4.799"
"88";"52.155";"4.769"
"88";"52.415";"4.729"
"88";"52.085";"3.869"
"88";"52.085";"5.629"
"88";"52.415";"4.959"
"88";"52.295";"4.639"
"88";"52.255";"4.849"
"88";"52.445";"5.389"
"88";"52.495";"4.069"
"88";"52.325";"5.179"
"88";"52.495";"5.549"
"87";"52.095";"3.989"
"87";"52.205";"5.329"
"87";"52.405";"4.949"
"87";"52.425";"4.359"
"87";"52.115";"4.059"
"87";"52.195";"5.049"
"87";"52.485";"5.659"
"87";"52.605";"4.519"
"87";"51.925";"3.129"
"87";"52.225";"4.559"
"87";"52.535";"4.979"
"87";"52.495";"5.629"
"87";"51.995";"4.769"
"86";"52.325";"4.749"
"86";"52.375";"5.209"
"86";"52.475";"4.439"
"86";"52.515";"3.949"
"86";"52.535";"4.939"
"86";"52.415";"4.389"
"86";"52.095";"3.979"
"86";"52.115";"4.089"
"86";"52.535";"4.809"
"86";"52.535";"4.789"
"86";"52.315";"4.469"
"86";"52.235";"4.539"
"86";"52.175";"4.739"
"86";"52.175";"4.329"
"85";"52.175";"4.729"
"85";"52.125";"4.459"
"85";"52.125";"4.099"
"85";"51.995";"4.529"
"85";"52.535";"4.919"
"85";"52.515";"3.959"
"85";"52.425";"4.349"
"85";"52.295";"4.489"
"85";"52.245";"5.209"
"85";"52.155";"4.499"
"85";"52.535";"4.969"
"85";"52.305";"4.479"
"85";"52.365";"4.889"
"85";"52.175";"4.879"
"85";"52.535";"4.749"
"85";"52.225";"4.619"
"84";"52.575";"4.579"
"84";"52.085";"2.259"
"84";"52.265";"4.709"
"84";"52.535";"4.959"
"84";"52.335";"4.439"
"84";"52.105";"4.009"
"84";"52.025";"4.299"
"84";"52.435";"5.379"
"84";"51.925";"3.179"
"84";"52.325";"5.189"
"84";"52.525";"3.939"
"84";"51.775";"4.649"
"83";"52.575";"4.589"
"83";"52.405";"4.749"
"83";"51.495";"5.089"
"83";"52.525";"5.019"
"83";"52.545";"4.889"
"83";"52.505";"5.489"
"83";"51.905";"4.749"
"83";"52.415";"5.309"
"83";"52.445";"4.269"
"83";"52.525";"5.029"
"83";"52.555";"4.799"
"83";"52.095";"3.969"
"83";"51.875";"4.099"
"82";"52.545";"4.799"
"82";"52.535";"4.949"
"82";"52.485";"5.669"
"82";"52.515";"3.939"
"82";"51.935";"3.179"
"82";"52.385";"4.709"
"82";"52.225";"4.809"
"82";"51.405";"4.369"
"82";"52.325";"5.129"
"82";"52.565";"4.919"
"82";"52.165";"4.329"
"81";"52.235";"4.779"
"81";"52.535";"4.929"
"81";"51.905";"4.139"
"81";"52.235";"5.089"
"81";"52.355";"4.879"
"81";"52.175";"4.929"
"81";"52.425";"4.729"
"81";"51.855";"4.719"
"81";"52.195";"5.349"
"81";"52.375";"5.199"
"81";"52.275";"4.509"
"81";"52.345";"5.129"
"81";"51.395";"4.359"
"81";"52.555";"4.499"
"81";"52.005";"4.259"
"81";"52.535";"4.799"
"81";"52.545";"4.829"
"81";"52.545";"4.859"
"81";"52.515";"3.969"
"81";"52.505";"5.599"
"81";"51.565";"4.489"
"81";"52.525";"5.049"
"81";"52.085";"4.849"
"80";"52.525";"5.079"
"80";"51.995";"4.779"
"80";"52.525";"3.949"
"80";"52.575";"4.529"
"80";"52.215";"5.109"
"80";"52.165";"4.729"
"80";"51.175";"4.189"
"80";"52.525";"5.039"
"80";"52.355";"4.429"
"80";"52.525";"4.849"
"80";"52.185";"4.999"
"80";"52.505";"5.089"
"80";"52.525";"4.569"
"80";"52.575";"4.539"
"80";"52.485";"5.459"
"80";"52.385";"5.249"
"80";"52.425";"4.369"
"80";"51.985";"4.509"
"80";"52.325";"5.219"
"80";"52.515";"5.569"
"80";"52.515";"4.469"
"80";"52.085";"4.719"
"80";"52.535";"4.819"
"80";"52.535";"4.989"
"80";"52.175";"4.889"
"80";"52.525";"5.009"
"80";"52.535";"4.559"
"80";"52.445";"4.279"
"79";"52.575";"4.519"
"79";"52.195";"5.359"
"79";"52.445";"4.769"
"79";"52.515";"4.749"
"79";"52.525";"5.069"
"79";"51.645";"4.549"
"79";"52.545";"4.789"
"79";"52.395";"4.729"
"79";"51.865";"4.099"
"79";"51.935";"4.149"
"79";"51.925";"3.109"
"79";"51.815";"2.659"
"79";"52.575";"4.549"
"79";"52.485";"5.449"
"79";"52.325";"5.149"
"79";"52.525";"5.059"
"79";"52.205";"5.339"
"79";"51.815";"4.679"
"78";"52.075";"3.849"
"78";"52.175";"4.899"
"78";"52.075";"3.839"
"78";"51.985";"4.779"
"78";"52.285";"4.749"
"78";"51.925";"3.119"
"78";"51.975";"4.769"
"78";"52.325";"5.209"
"78";"52.445";"4.699"
"78";"51.925";"3.059"
"78";"52.535";"5.089"
"78";"52.435";"4.339"
"78";"52.565";"4.509"
"78";"52.445";"5.409"
"78";"52.545";"4.779"
"78";"51.925";"3.049"
"78";"52.025";"4.609"
"78";"52.165";"4.519"
"78";"51.925";"3.069"
"78";"52.145";"4.769"
"77";"52.525";"4.749"
"77";"51.925";"3.079"
"77";"52.545";"4.839"
"77";"52.545";"4.809"
"77";"52.215";"5.139"
"77";"51.955";"4.169"
"77";"52.445";"4.289"
"77";"52.495";"4.719"
"77";"52.335";"4.449"
"77";"51.995";"4.519"
"77";"52.345";"4.439"
"77";"52.085";"5.639"
"77";"52.085";"2.249"
"77";"51.935";"3.209"
"77";"52.525";"3.969"
"77";"52.055";"3.759"
"77";"52.065";"3.799"
"77";"52.085";"4.779"
"77";"52.405";"5.279"
"77";"52.275";"4.659"
"77";"52.515";"5.309"
"77";"52.195";"4.519"
"77";"52.505";"5.609"
"76";"52.615";"4.519"
"76";"52.475";"5.699"
"76";"51.815";"2.669"
"76";"52.495";"5.639"
"76";"51.625";"4.539"
"76";"52.505";"4.719"
"76";"52.185";"4.959"
"76";"51.925";"3.099"
"76";"51.905";"4.759"
"76";"52.175";"5.399"
"76";"52.145";"4.489"
"76";"52.315";"5.069"
"76";"52.315";"4.809"
"76";"52.135";"4.769"
"76";"52.075";"3.829"
"76";"52.025";"4.599"
"76";"52.435";"5.359"
"76";"52.185";"5.379"
"76";"52.065";"3.789"
"76";"51.985";"4.769"
"76";"52.065";"3.809"
"76";"52.755";"2.809"
"76";"52.485";"5.679"
"76";"52.225";"4.779"
"75";"51.955";"4.159"
"75";"52.215";"5.119"
"75";"52.555";"4.819"
"75";"52.555";"4.909"
"75";"52.345";"5.139"
"75";"52.055";"3.749"
"75";"51.925";"3.039"
"75";"52.215";"5.129"
"75";"52.045";"3.709"
"75";"51.925";"3.029"
"75";"51.975";"4.779"
"75";"52.545";"4.849"
"75";"52.465";"4.429"
"75";"52.485";"5.489"
"75";"52.565";"4.929"
"75";"52.085";"2.269"
"75";"52.455";"4.779"
"75";"52.225";"5.269"
"74";"51.855";"4.089"
"74";"52.525";"3.929"
"74";"51.585";"4.509"
"74";"52.525";"3.959"
"74";"52.525";"5.099"
"74";"52.085";"4.989"
"74";"52.235";"5.209"
"74";"51.685";"4.579"
"74";"52.505";"4.749"
"74";"51.355";"4.329"
"74";"52.455";"4.679"
"74";"52.325";"5.159"
"74";"51.955";"4.769"
"74";"52.555";"4.789"
"74";"52.195";"4.719"
"74";"52.085";"4.239"
"74";"52.525";"4.479"
"74";"52.535";"5.619"
"74";"52.545";"4.549"
"74";"52.185";"4.839"
"74";"52.375";"4.709"
"74";"51.965";"4.769"
"74";"51.925";"3.089"
"74";"52.255";"4.739"
"74";"52.565";"4.769"
"74";"52.495";"4.059"
"73";"52.045";"4.329"
"73";"52.045";"3.699"
"73";"51.105";"4.149"
"73";"52.525";"4.999"
"73";"52.445";"5.269"
"73";"52.515";"5.299"
"73";"52.575";"4.939"
"73";"52.085";"4.229"
"73";"52.505";"4.459"
"73";"52.445";"4.689"
"73";"52.225";"5.169"
"73";"52.015";"4.779"
"73";"52.195";"4.559"
"73";"52.585";"4.539"
"73";"52.525";"4.559"
"73";"52.215";"5.319"
"73";"52.205";"4.709"
"73";"51.925";"3.009"
"73";"52.525";"5.609"
"73";"52.495";"5.489"
"73";"52.465";"4.179"
"73";"52.005";"4.269"
"73";"52.165";"5.419"
"73";"51.525";"4.459"
"73";"51.165";"4.189"
"73";"52.855";"2.889"
"73";"52.465";"4.659"
"73";"52.425";"4.979"
"73";"51.815";"2.679"
"73";"51.875";"4.109"
"73";"52.515";"5.319"
"73";"51.945";"4.159"
"72";"52.225";"4.679"
"72";"52.535";"4.999"
"72";"52.525";"4.819"
"72";"52.055";"3.739"
"72";"52.225";"5.159"
"72";"52.175";"4.949"
"72";"51.815";"2.649"
"72";"52.005";"4.549"
"72";"51.365";"4.339"
"72";"52.265";"5.089"
"72";"52.515";"4.839"
"72";"52.175";"4.529"
"72";"51.925";"2.849"
"72";"52.355";"5.159"
"72";"52.445";"5.279"
"72";"52.405";"5.299"
"72";"52.165";"4.509"
"72";"52.515";"5.459"
"72";"52.475";"5.429"
"72";"52.435";"4.739"
"72";"52.525";"5.109"
"72";"51.435";"4.389"
"72";"52.035";"3.669"
"72";"52.095";"4.759"
"72";"52.555";"4.729"
"72";"52.325";"4.989"
"72";"52.145";"4.479"
"72";"52.015";"4.589"
"72";"51.925";"2.999"
"72";"52.085";"2.299"
"71";"52.245";"4.539"
"71";"52.575";"4.559"
"71";"52.505";"4.829"
"71";"52.405";"4.939"
"71";"52.225";"5.189"
"71";"52.465";"5.759"
"71";"52.545";"5.089"
"71";"52.085";"4.139"
"71";"52.295";"5.049"
"71";"52.035";"3.649"
"71";"52.185";"5.369"
"71";"52.095";"3.959"
"71";"51.925";"2.989"
"71";"52.475";"5.709"
"71";"51.975";"4.229"
"71";"52.155";"5.439"
"71";"52.475";"4.739"
"71";"51.935";"3.219"
"71";"52.085";"2.319"
"71";"51.535";"4.469"
"71";"52.385";"4.909"
"71";"52.225";"5.179"
"71";"52.515";"4.719"
"71";"51.925";"3.019"
"71";"52.085";"2.289"
"71";"51.765";"4.649"
"71";"52.525";"4.799"
"71";"52.085";"2.309"
"71";"51.925";"2.979"
"71";"52.555";"4.809"
"71";"52.475";"5.419"
"71";"52.545";"4.819"
"71";"52.505";"3.909"
"71";"52.515";"5.599"
"71";"52.515";"5.429"
"71";"52.465";"4.649"
"71";"52.465";"4.789"
